antecedents,consequents,support,confidence,lift
Mystery,Thriller,0.05075503355704698,0.6954022988505747,2.5944273559620816
Romance,Drama,0.12625838926174496,0.6726256983240223,1.3992492712080884
Crime,Thriller,0.087248322147651,0.5968436154949786,2.226721720406931
Adventure,Action,0.09731543624161074,0.5880861850443599,2.431912341970085
Family,Comedy,0.06270973154362416,0.5828460038986355,1.6138267982512742
Horror,Thriller,0.061241610738255035,0.5593869731800767,2.0869773772477354
Crime,Drama,0.07948825503355705,0.5437589670014348,1.1311704863275922
Romance,Comedy,0.10192953020134228,0.5430167597765363,1.5035446635392131
Science Fiction,Action,0.05767617449664429,0.5149812734082396,2.1296016579449146
Action,Thriller,0.11493288590604027,0.4752818733738075,1.7731955964368655
Thriller,Action,0.11493288590604027,0.4287949921752739,1.7731955964368655
Action,Adventure,0.09731543624161074,0.40242844752818735,2.431912341970085
